"NAME","R.A.","DEC.","MAG"
"OTJ1608/OT J160824.0+165240","16 08 24.0","+16 52 40.0","15.8"
"RXJ2319/1RXS J231935.0+364705","23 19 35.0","+36 47 05.0","14.4"
"CSSJ1545/CSS J154544.8+442829","15 45 44.8","+44 28 29.0","14.7"
"V342 Cam/","04 23 32.82","+74 52 51.0","13.4"
"V521 Peg/","22 21 44.75","+18 40 08.7","12.6"
"SS UMi/","15 51 22.30","+71 45 11.0","15.0"
"RZ Sge/","20 03 18.50","+17 02 52.0","13.0"
"ASASSN-13cf/","21 55 12.76","+27 41 18.9","15.4"
"ASASSN-13ck/","00 11 33.70","+04 51 23.0","13.4"
"ASASJ2243/ASAS J224349+0809.5","22 43 48.44","+08 09 27.3","13.0"
"OTJ0045/MASTER OT J004527.52+503213.8","00 45 27.52","+50 32 13.8","14.0"
"OTJ2100/OT J210016.0-024258","21 00 16.00","-02 42 58.0","16.4"
"RXJ0150/MASTER OT J015016.17+375620.5","01 50 16.19","+37 56 19.0","14.3"
"BZ UMA/","08 53 44.10","+57 48 40.0","11.7"
"PU Per/","02 42 16.10","+35 40 47.0","15.6"
"EI Psc/","23 29 54.24","+06 28 11.4","13.3"
"ASASSN-13cz/","15 27 55.30","+63 27 53.4","16.0"
"DDE 8/1RXS J231935.0+364705","23 19 36.07","+36 47 00.1","15.0"
"OTJ0613/MASTER OT J061335.30+395714.7","06 13 35.30","+39 57 14.7","14.2"
"OTJ0749/MASTER OT J074940.48+071557.1","07 49 40.48","+07 15 57.1","15.1"
"OTJ2348/MASTER OT J234843.23+250250.4","23 48 43.23","+25 02 50.4","16.3"
"HY Psc/","23 03 52.0","+01 06 45.0","14.2"
"KV And/","02 17 13.8","+40 41 29.0","15.5"
"OTJ0057/MASTER OT J005740.99+443101.5","00 57 40.99","+44 31 01.5","15.7"
"MN Dra/","20 23 38.19","+64 36 26.9","15.5"
"V1239 Her/ J170213.25+322954.1","17 02 13.25","+32 29 54.3","15.0"
"HAT-P-16b/","00 38 17.59","+42 27 47.2","10.8"
"WASP-1b/","00 20 40.00","+31 59 24.0","11.4"
"WASP-33b/","02 26 51.08","+37 33 02.5","8.4"
"CI Gem/","06 30 05.80","+22 18 50.0","15.7"
"FO And/","01 15 32.00","+37 37 34.0","14.2"
"TY Psc/","01 25 39.30","+32 23 09.0","12.6"
"RX J1616/1RXS J161659.5+620014","16 17 00.80","+62 00 25.0","14.7"
"OT J1623/MASTER OT J162323.48+782603.3","16 23 23.38","+78 26 03.6","13.0"
"CSS 080130/CSS 080130:105550+095621","10 55 50.08","+09 56 20.4","14.3"
"SDSS 0808/SDSS J080846.19+313106.0","08 08 46.19","+31 31 06.0","14.3"
"ASASSN-14ac/","07 52 54.90","+53 05 31.2","14.5"
"OT J0030/MASTER OT J003059.39+301634.3","00 30 59.39","+30 16 34.3","16.6"
"HAT-P-3b/","13 44 23.00","+48 01 43.0","11.8"
"HAT-P-37b/","18 57 11.16","+51 16 08.9","13.2"
"XO-2b/","07 48 07.00","+50 13 33.0","11.2"
"CSS J0634/CSS J063437.9+412046","06 34 37.97","+41 20 46.9","15.6"
"V1208 Tau/","04 59 44.00","+19 26 22.0","15.4"
"PV Per/","02 42 53.39","+38 04 03.6","14.8"
"YZ Cnc/","08 10 56.60","+28 08 33.0","11.9"
"AK Cnc/","08 55 21.10","+11 18 14.0","13.9"
"NSV01436/","04 02 38.90","+42 50 44.0","12.0"
"BG Ari/","01 51 51.85","+14 00 47.5","15.5"
"NY Ser/","15 13 02.29","+23 15 08.4","14.8"
"NN Cam/","04 12 36.81","+69 29 06.8","12.7"
"DV UMa/","09 46 36.60","+44 46 44.0","15.2"
"V1113 Cyg/","19 22 42.00","+52 44 00.0","14.4"
"QW Ser/","15 26 13.90","+08 18 02.0","13.0"
"OTJ0558/MASTER OT J055845.55+391533.4","05 58 45.55","+39 15 33.4","14.5"
"PNVJ1616/PNV J16161867+1151058","16 16 18.67","+11 51 05.8","13.3"
"OTJ1411/MASTER OT J141143.46+262051.5","14 11 43.46","+26 20 51.5","15.2"
"SDSSJ0910/SDSS J091001.62+164820.1","09 10 01.62","+16 48 20.1","14.0"
"OTJ1117/MASTER OT J111759.87+765131.6","11 17 59.71","+76 51 30.5","14.0"
"OTJ1055/MASTER OT J105545.20+573109.7","10 55 45.20","+57 31 09.7","15.5"
"OTJ0600/OT J060009.9+142615","06 00 10.03","+14 26 12.2","12.7"
"SDSSJ0902/SDSS J090221.35+381941.9","09 02 21.35","+38 19 41.9","14.0"
"SDSSJ1730/Carter_SDSSJ173047.59+554518.5","17 30 47.59","+55 45 18.5","15.0"
"TCPJ2054/TCP J20542386+6017077","20 54 23.86","+60 17 07.7","12.0"
"NOVACyg 2014/PNV J20214234+3103296","20 21 42.32","+31 03 29.4","11.0"
"NY Ser/","15 13 02.20","+23 15 08.0","15.0"
"RZ LMi/","09 51 48.91","+34 07 23.8","13.8"
"SDSSJ0814/Wils_SDSSJ081408.42+090759.1","08 14 08.42","+09 07 59.1","14.4"
"OTJ1719/MASTER OT J171921.40+640309.8","17 19 21.40","+64 03 09.8","15.6"
"OTJ2009/MASTER OT J200904.69+825153.6","20 09 04.69","+82 51 53.6","15.6"
"PTF1J0719/PTF1 J071912.13+485834.0","07 19 12.11","+48 58 35.1","15.7"
"OTJ1928/MASTER OT J192809.82+551616.5","19 28 09.82","+55 16 16.5","15.9"
"OTJ1759/MASTER OT J175924.12+252031.7","17 59 24.12","+25 20 31.7","13.2"
"PNV J1729/PNV J17292916+0054043","17 29 29.16","+00 54 04.3","12.4"
"KIC 12055014/","19 10 03.87","+50 33 23.9","13.6"
"KIC 10229723/","19 56 04.80","+47 13 13.8","12.0"
"V2366 Cyg/","19 32 10.86","+45 44 09.0","12.9"
"RS Oph/","17 50 13.20","-06 42 29.0","11.0"
"CR Boo/","13 48 55.22","+07 57 35.7","13.0"
"V418 Ser/","15 14 53.65","+02 09 35.0","15.8"
"SN M106/","12 18 57.71","+47 18 11.3","14.8"
"ASASSN-14cn/","16 11 34.00","+63 08 32.2","14.3"
"ASASSN-14cr/","21 10 09.53","+27 11 57.0","15.0"
"ASASSN-14cv/","17 43 48.58","+52 03 46.8","11.3"
"V503 Cyg/","20 27 17.41","+43 41 22.5","14.0"
"QR And/","00 19 49.93","+21 56 52.1","12.0"
"IP Peg/","23 23 08.60","+18 24 59.6","12.0"
"PTF1J0719/PTF1 J071912.13+485834.0","07 19 12.12","+48 58 34.4","15.7"
"V723 Cas/","01 05 05.36","+54 00 40.3","15.0"
"ASASSN-14gz/SDSS J172325.99+330414.1","17 23 25.95","+33 04 12.1","14.8"
"CRTS J2147/CRTS J214738.4+244554","21 47 38.40","+24 45 54.0","12.9"
"OT J2138/1RXS J213807.1+261958","21 38 06.68","+26 19 56.6","9.8"
"ASASSN-14cn/Gaia14aaf","16 11 33.95","+63 08 32.0","14.2"
"V823 Cyg/","20 01 49.28","+36 07 24.3","15.3"
"OT J0309/OT J030929.8+263804","03 09 29.77","+26 38 04.2","11.1"
"CSS J2126/CSS_J212625.1+201948","21 26 25.08","+20 19 46.4","16.1"
"ASASSN-14jv/ASASSN-14jv","18 53 28.81","+42 03 43.59","11.3"
"ASASSN-14jq/SDSS J022102.78+732245.2","02 21 02.68","+73 22 45.2","14.3"
"UV Per/","02 10 08.32","+57 11 21.2","12.3"
"OT J0648/OT J064833.4+065624","06 48 33.45","+06 56 23.3","11.6"
"KX Aql/","19 33 53.66","+14 17 47.8","12.8"
"V1454 Cyg/","19 53 38.47","+35 21 45.4","14.6"
"TCP J1605/TCP J16054809+2405338","16 05 47.98","+24 05 31.10","12.6"
"SDSS J0732/Wils_SDSSJ073208.11+413008.7","07 32 08.11","+41 30 08.8","15.3"
"SDSS J0129/SDSS J012940.05+384210.4","01 29 40.05","+38 42 10.40","14.9"
"ASASSN-14mj/ASASSN-14mj","06 43 35.29","+74 10 14.40","13.9"
"ASASSN-14mv/ASASSN-14mv","07 13 27.25","+20 55 52.0","12.8"
"V650 Ori/","05 31 08.82","+09 45 27.5","15.5"
"OT J0439/MASTER OT J043915.60+424232.3","04 39 15.60","+42 42 23.3","16.0"
"ASASSN-15bp/ASASSN-15bp Vir","12 12 40.41","+04 16 56.2","11.9"
"ASASSN-15bu/ASASSN-15bu","02 54 43.68","+22 44 02.7","15.8"
"SDSS J1400/Carter_SDSSJ140037.99+572341.3","14 00 37.85","+57 23 41.5","15.5"
"NSV 2026/1RXS J052954.9+184817","05 29 58.81","+18 48 10.0","14.1"
"ASASSN-15dp/ASASSN-15dp Aur","4 49 32.27","+36 05 14.3","14.1"
"ASASSN-15dq/ASASSN-15dq Sex","09 46 06.94","-00 56 01.2","14.5"
