"# Observations","Air Mass","Altitude","Annotations","Apparent Mag","Avg. Rating","Avg. Rating (Numeric)","Azimuth","Best Eyepiece","Best Magnification","Best Time","Catalogue","Catalogue Notes","Chart #","Components","Constellation","Dark Time Duration","Dark Time End","Dark Time Start","Date of Opposition","Dec","Difficulty Index","Ecliptic Latitude","Ecliptic Longitude","Extinction","Found","Galactic Latitude","Galactic Longitude","Heliocentric JDate","Hour Angle","ID","Log Object Contrast","Lord's Rating","Magnitude","Magnitude2","Moon Distance","Name","Observability","ODM","Parallactic Angle","PCW Level","Period","Plan Seq #","Pos.Angle","Probability","Probability 2","RA","Rise Time","Separation","Set Time","Size","Spectral","Splitability","Splittable Aperture","Sun Distance","Surface Brightness","Transit Altitude","Transit Date","Transit Time","Type","User Notes","Visible"
"0","1.0723823","68.81","","9.75","","0","125.72","21mm (48X)","27.5","19h 15m 00s","NGC","","8","","Peg","8.966632","05h 10m 47s","20h 12m 47s","2020-09-08","34.41667","-999","39.4","356.81","0.2503837","No","-20.73","93.73","0.0040441","-01h 23m 22s","C30","-2.0300934","","9.5","","61.87","NGC7331","47.697513","27x","-40.21","2","0","31","171","100","0","22.618334","12h 09m 00s","","06h 05m 00s","10","","No","0","134.45","23.2752334","75.42","2020-09-09 11:51:29","21h 39m 08s","Galaxy","B, pL, pmE 163deg , smbM","Limit"
"0","6.3448708","8.73","","7.485","","0","45.9","21mm (48X)","27.5","04h 15m 00s","","","4","","Aur","8.966632","05h 10m 47s","20h 12m 47s","2019-12-04","34.46361","-999","11.38","80.78","1.4846903","No","-2.21","171.93","0.00292","-08h 02m 21s","C31","-1.1395275","","6","","40.63","IC405","32.8486089","28x","-34.85","3","0","32","0","100","0","5.268056","18h 46m 00s","","12h 43m 00s","37x10","","No","0","120.37","21.0488188","75.46","2019-12-19 17:29:32","04h 18m 07s","BrNeb","","Limit"
"0","15.1443482","3.79","","12.288","","0","318.19","21mm (48X)","27.5","19h 15m 00s","NGC","","6","","CVn","2.6171876","05h 10m 47s","02h 33m 45s","2020-04-09","32.53333","-999","33.69","174.99","2.9877737","No","84.23","142.9","-0.0042883","08h 31m 38s","C32","-2.2492797","","9.3","","126.8","NGC4631","16.0972804","27x","31.25","2","0","33","86","100","0","12.701667","02h 35m 00s","","19h 54m 00s","15","","No","0","42.06","23.8231993","73.53","2020-04-11 03:58:41","11h 44m 08s","Galaxy","!, vB, vL, eE 70deg +/- , bMN, *12 att n","Limit"
"0","1.048946","72.41","","","","0","192.29","","0","19h 15m 00s","NGC","","8","","Cyg","7.8494446","04h 03m 45s","20h 12m 47s","2020-08-14","31.71667","-999","46.49","329.31","0.2455886","No","-8.8","75.54","0.0024191","00h 17m 20s","C33","999","","","","82.97","NGC6992","47.8156396","n/a","9.45","2","0","34","0","-1","0","20.940001","10h 54m 00s","","04h 05m 00s","60","","No","0","114.77","999","72.72","2020-08-14 21:11:07","19h 58m 26s","E Neb","!!, eF, eL, eE, eiF, bifurcated","Limit"
"0","1.0577497","70.96","","","","0","198.76","","0","19h 15m 00s","NGC","","8","","Cyg","7.4744446","03h 41m 15s","20h 12m 47s","2020-08-11","30.71667","-999","46.47","325.68","0.2470383","No","-7.64","73.31","0.0022156","00h 28m 02s","C34","999","","","","85.39","NGC6960","47.7911135","n/a","14.21","2","0","35","169","-1","0","20.761667","10h 54m 00s","","03h 46m 00s","70","","No","0","112.56","999","71.72","2020-08-12 03:52:21","19h 47m 44s","E Neb","!! pB, cL, eiF, 52 Cyg inv","Limit"
"0","28.6794883","2","","15.871","","0","312.46","21mm (48X)","27.5","19h 15m 00s","NGC","","6","","Com","1.7421876","05h 10m 47s","03h 26m 15s","2020-04-15","27.96667","-999","31.42","181.58","4.470928","No","87.9","57.02","-0.0046242","08h 13m 38s","C35","-1.6855683","","11.4","","132.8","NGC4889","0","27x","33.23","3","0","36","80","100","0","13.001667","03h 31m 00s","","19h 46m 00s","3","","No","0","36.81","22.4139208","68.97","2020-04-15 17:51:00","12h 02m 08s","Galaxy","pB, pmE, bM, *7 n","Limit"
"0","999","-0.81","","","","0","316.98","21mm (48X)","27.5","05h 30m 00s","NGC","","6","","Com","1.2421875","05h 10m 47s","03h 56m 15s","2020-04-08","27.96667","-999","29.03","176.08","999","No","86.48","198.28","-0.0045489","08h 37m 44s","C36","-2.1737044","","9.9","","129.27","NGC4559","0","27x","30.45","2","0","37","150","100","0","12.6","03h 58m 00s","","19h 20m 00s","10","","No","0","38.04","23.634261","68.97","2020-04-09 14:44:37","11h 38m 02s","Galaxy","vB, vL, mE 150deg , gbM, 3 st f",""
"0","1.1076937","64.5","","6.259","","0","213.6","21mm (48X)","27.5","19h 15m 00s","NGC","","8","","Vul","6.5994446","02h 48m 45s","20h 12m 47s","2020-08-02","26.48333","-999","45.05","313.63","0.2589991","No","-4.07","65.53","0.0015153","01h 01m 44s","C37","-0.2615219","","6","","93.51","NGC6885","47.6428827","28x","23.93","3","0","38","0","100","0","20.200001","10h 54m 00s","","02h 54m 00s","7","","No","0","105.21","18.8538047","67.48","2020-08-03 14:10:04","19h 14m 02s","Open","Cl, vB, vL, Ri, lC, st 6...11","Limit"
"0","999","-2.49","","","","0","315.92","21mm (48X)","27.5","05h 30m 00s","NGC","","6","","Com","1.8671876","05h 10m 47s","03h 18m 45s","2020-04-08","25.98333","-999","27.28","177.15","999","No","86.43","230.77","-0.0046645","08h 37m 26s","C38","-2.4303558","","9.6","","130.72","NGC4565","0","27x","30.51","2","0","39","142","100","0","12.604999","03h 20m 00s","","19h 13m 00s","16","","No","0","36.14","24.2758896","66.98","2020-04-09 16:34:28","11h 38m 20s","Galaxy","B, eL, eE 135deg , vsbMN = *10-11",""
"0","999","-16.3","","","","0","25.39","20mm (50X)","68.0284215","05h 30m 00s","NGC","","4","","Gem","6.4921876","05h 10m 47s","22h 41m 15s","2020-01-07","20.91667","-999","-0.93","110.76","999","No","17.41","197.88","0.0001075","-10h 15m 28s","C39","0.1384781","","10","","67.3","NGC2392","0","68x","-17.52","2","0","40","0","100","0","7.486667","22h 43m 00s","","13h 50m 00s","0","","No","0","91.06","17.8538047","61.92","2020-01-22 14:02:11","06h 31m 14s","P Neb","B, S, R, *9 M, *8 nf 100""",""
